Latitude	Longitude	SUM di Total victims
43.15693027	-77.69300856	7
43.16103	-77.610922	8
43.1696837	-77.614337	7
43.22205555	-123.3522367	16
43.38682722	-98.84357239	5
43.41929117	-83.95032759	4
44.05489698	-123.0075562	29
44.20455909	-88.4484585	4
44.49022039	-73.11400628	4
44.79051074	-106.9599165	4
44.96358722	-93.26783687	13
45.50216511	-122.4412759	10
45.5719072	-88.9028922	7
45.65773714	-91.55077175	8
46.39761858	-112.7329333	4
46.73059479	-116.9990042	4
47.03740653	-109.4844918	4
47.12189424	-119.2750699	4
47.155846	-122.437031	5
47.16267579	-122.5296574	4
47.30909721	-122.3357553	4
47.451459	-122.826946	4
47.5033	-122.931	4
47.6038321	-122.3300624	7
47.618456	-117.644099	27
47.62199575	-122.323646	20
47.6229	-122.3165	9
47.64628742	-121.9088524	6
47.67367375	-117.4159843	5
47.69618799	-95.42844094	4
47.87067289	-95.00529009	14
48.04802409	-122.1359622	5
60.79053882	-161.7927517	4
