id	year	lat	lon
204	2014	41.4911123	-120.549091
205	2016	42.291707	-85.587229
207	1998	33.93814348	-117.3948409
208	2016	38.77144	-90.370949
212	2015	46.73059479	-116.9990042
213	2000	42.506484	-71.0728306
214	2016	33.448377	-112.074037
215	2016	33.538652	-112.185987
216	2011	33.75432632	-118.0715378
217	1993	39.69892933	-104.7871863
218	2013	33.67803464	-117.773628
219	2016	36.7921	-76.3293
220	2013	25.8670105	-80.29146268
221	1997	33.47524551	-81.72595949
222	1986	40.679276	-73.939513
223	1997	32.27492783	-90.09470655
224	2001	41.90289602	-87.8643021
225	2016	29.760427	-95.369803
226	2013	33.54961059	-117.6415707
228	2015	29.79705548	-95.36763856
230	1992	42.38013875	-76.86724659
231	2015	43.22205555	-123.3522367
232	1966	30.1988873	-97.84415949
233	1993	40.72662266	-73.644712
235	2015	34.13973446	-117.2942444
236	1989	37.96631812	-121.3018775
237	2012	33.5282865	-86.79550448
240	2015	43.1696837	-77.614337
241	1994	47.618456	-117.644099
242	2016	43.16103	-77.610922
243	2016	38.744217	-90.305391
244	2009	35.345802	-79.4170543
245	2009	35.33985609	-79.41381725
246	2013	32.34729571	-86.26730242
247	2007	45.5719072	-88.9028922
248	1974	42.08185369	-78.43213922
249	2011	42.96920434	-85.66008902
250	2015	34.05057545	-84.06872262
251	2007	47.64628742	-121.9088524
252	2010	34.72827538	-86.6723055
253	2007	40.77787404	-111.9312168
257	2015	44.20455909	-88.4484585
258	2015	34.61025711	-83.52918091
259	2015	35.09318123	-85.23676751
260	2005	47.87067289	-95.00529009
261	1984	32.79480596	-96.76631094
263	1971	47.67367375	-117.4159843
264	1988	41.83928045	-87.68818145
266	2015	28.24653304	-82.71690259
267	1992	35.18322484	-101.8805688
268	2015	33.66086267	-84.02688527
269	2015	33.57145875	-112.0904854
270	2012	33.9412127	-84.2135309
271	2016	40.440625	-79.995886
272	2016	40.441736	-79.881994
274	1996	47.12189424	-119.2750699
275	1996	26.1223084	-80.1433786
276	2016	39.114053	-94.627464
277	2016	39.114053	-94.627464
279	2015	31.8076	-95.8069
281	2016	29.785785	-95.824396
282	1993	44.79051074	-106.9599165
283	2015	43.04093416	-76.14376763
284	1994	41.60713735	-81.46902046
287	2014	31.07925506	-97.73392317
288	2015	31.07925506	-97.73392317
290	2015	31.07925506	-97.73392317
291	1992	39.08174985	-121.5549539
292	1979	32.86357277	-117.1281628
293	2015	32.788387	-79.933143
295	2015	25.94326707	-80.24253243
296	2016	30.22409	-92.019843
297	2015	30.21233538	-92.0316453
298	2015	43.38682722	-98.84357239
299	2015	30.22540212	-85.87371301
301	2013	32.79480596	-96.76631094
302	2015	31.58036482	-90.44323475
303	2016	38.845113	-76.874972
304	1988	42.10648807	-87.74211141
306	1997	33.78935598	-117.820412
307	2016	38.104086	-122.256637
308	1994	38.95130818	-84.67066339
309	2009	31.13814354	-97.77797804
310	2016	39.739072	-75.539788
311	1988	37.38344257	-122.0256185
312	1993	35.07997086	-79.03796125
314	2009	37.36463172	-121.9679315
315	2015	41.89499946	-87.81941392
316	1989	33.13439925	-117.0722528
317	2016	28.039465	-81.949804
318	2007	39.81087474	-105.173715
319	2002	37.27537712	-82.09877234
320	1979	34.05098834	-80.82077527
321	1991	33.57145875	-112.0904854
322	2015	36.44329	-108.723281
323	1997	37.08506	-88.74422
